Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TC001,Chrome 111.0.0.0,,,2023-04-18 23:25:09,2023-04-18 23:25:43,34.202s,PASSED
,,,,,,,
Test Cases/Login Functionality/TC001,Chrome 111.0.0.0,Verify successful login,,2023-04-18 23:25:09,2023-04-18 23:25:18,8.885s,PASSED
"openBrowser("""")",Chrome 111.0.0.0,,,2023-04-18 23:25:10,2023-04-18 23:25:14,3.547s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 111.0.0.0,,,2023-04-18 23:25:14,2023-04-18 23:25:15,1.094s,PASSED
"setText(findTestObject(""Object Repository/TS1_Login Functionality/Page_Swag Labs/input_Swag Labs_user-name""), Username)",Chrome 111.0.0.0,,,2023-04-18 23:25:15,2023-04-18 23:25:16,1.183s,PASSED
"setText(findTestObject(""Object Repository/TS1_Login Functionality/Page_Swag Labs/input_Swag Labs_password""), Password)",Chrome 111.0.0.0,,,2023-04-18 23:25:16,2023-04-18 23:25:17,1.036s,PASSED
"click(findTestObject(""Object Repository/TS1_Login Functionality/Page_Swag Labs/input_Swag Labs_login-button""))",Chrome 111.0.0.0,,,2023-04-18 23:25:17,2023-04-18 23:25:18,0.664s,PASSED
closeBrowser(),Chrome 111.0.0.0,,,2023-04-18 23:25:18,2023-04-18 23:25:18,0.743s,PASSED
,,,,,,,
Test Cases/Login Functionality/TC001,Chrome 111.0.0.0,Verify successful login,,2023-04-18 23:25:18,2023-04-18 23:25:25,6.264s,PASSED
"openBrowser("""")",Chrome 111.0.0.0,,,2023-04-18 23:25:18,2023-04-18 23:25:20,1.849s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 111.0.0.0,,,2023-04-18 23:25:20,2023-04-18 23:25:21,1.002s,PASSED
"setText(findTestObject(""Object Repository/TS1_Login Functionality/Page_Swag Labs/input_Swag Labs_user-name""), Username)",Chrome 111.0.0.0,,,2023-04-18 23:25:21,2023-04-18 23:25:22,1.015s,PASSED
"setText(findTestObject(""Object Repository/TS1_Login Functionality/Page_Swag Labs/input_Swag Labs_password""), Password)",Chrome 111.0.0.0,,,2023-04-18 23:25:22,2023-04-18 23:25:23,1.136s,PASSED
"click(findTestObject(""Object Repository/TS1_Login Functionality/Page_Swag Labs/input_Swag Labs_login-button""))",Chrome 111.0.0.0,,,2023-04-18 23:25:23,2023-04-18 23:25:24,0.509s,PASSED
closeBrowser(),Chrome 111.0.0.0,,,2023-04-18 23:25:24,2023-04-18 23:25:25,0.726s,PASSED
,,,,,,,
Test Cases/Login Functionality/TC001,Chrome 111.0.0.0,Verify successful login,,2023-04-18 23:25:25,2023-04-18 23:25:31,6.514s,PASSED
"openBrowser("""")",Chrome 111.0.0.0,,,2023-04-18 23:25:25,2023-04-18 23:25:26,1.639s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 111.0.0.0,,,2023-04-18 23:25:26,2023-04-18 23:25:28,1.208s,PASSED
"setText(findTestObject(""Object Repository/TS1_Login Functionality/Page_Swag Labs/input_Swag Labs_user-name""), Username)",Chrome 111.0.0.0,,,2023-04-18 23:25:28,2023-04-18 23:25:29,0.959s,PASSED
"setText(findTestObject(""Object Repository/TS1_Login Functionality/Page_Swag Labs/input_Swag Labs_password""), Password)",Chrome 111.0.0.0,,,2023-04-18 23:25:29,2023-04-18 23:25:30,1.109s,PASSED
"click(findTestObject(""Object Repository/TS1_Login Functionality/Page_Swag Labs/input_Swag Labs_login-button""))",Chrome 111.0.0.0,,,2023-04-18 23:25:30,2023-04-18 23:25:31,0.845s,PASSED
closeBrowser(),Chrome 111.0.0.0,,,2023-04-18 23:25:31,2023-04-18 23:25:31,0.720s,PASSED
,,,,,,,
Test Cases/Login Functionality/TC001,Chrome 111.0.0.0,Verify successful login,,2023-04-18 23:25:31,2023-04-18 23:25:43,11.628s,PASSED
"openBrowser("""")",Chrome 111.0.0.0,,,2023-04-18 23:25:31,2023-04-18 23:25:33,1.699s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 111.0.0.0,,,2023-04-18 23:25:33,2023-04-18 23:25:34,1.176s,PASSED
"setText(findTestObject(""Object Repository/TS1_Login Functionality/Page_Swag Labs/input_Swag Labs_user-name""), Username)",Chrome 111.0.0.0,,,2023-04-18 23:25:34,2023-04-18 23:25:35,1.171s,PASSED
"setText(findTestObject(""Object Repository/TS1_Login Functionality/Page_Swag Labs/input_Swag Labs_password""), Password)",Chrome 111.0.0.0,,,2023-04-18 23:25:35,2023-04-18 23:25:37,1.106s,PASSED
"click(findTestObject(""Object Repository/TS1_Login Functionality/Page_Swag Labs/input_Swag Labs_login-button""))",Chrome 111.0.0.0,,,2023-04-18 23:25:37,2023-04-18 23:25:42,5.733s,PASSED
closeBrowser(),Chrome 111.0.0.0,,,2023-04-18 23:25:42,2023-04-18 23:25:43,0.715s,PASSED
